Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Cucumber raita (Kheere ka raita),59.13,2.08,0.62,5.22,189.96,4.04,0.86,solid
Carrot and spinach raita (Gajar aur palak ka raita),56.83,1.99,0.6,4.93,180.79,4.0,1.39,solid
Mint raita (Pudinay ka raita),77.59,2.96,0.89,7.48,274.38,5.64,0.34,solid
Potato raita (Aloo ka raita),66.2,2.04,0.61,5.08,183.37,4.22,0.75,solid
Boondi raita,687.72,73.83,22.15,1.88,99.18,2.19,0.46,solid
Sweet raita (Meetha raita),99.24,1.78,0.53,15.36,42.98,3.24,1.02,solid
Dahi vadas/Dahi bhalla,667.73,70.4,21.12,1.78,79.0,2.96,0.97,solid
Gunjia,667.34,70.28,21.08,2.05,77.9,2.98,1.13,solid
Saunth/Sonth chutney with tamarind/imli,141.53,0.15,0.04,31.31,244.38,1.01,0.93,solid
Rice kheer (Chawal ki kheer),75.03,2.97,0.89,8.02,16.24,2.3,0.17,solid
Makhana kheer,107.85,5.0,1.5,11.54,23.4,3.31,0.11,solid
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,5.0,1.75,12.79,22.52,3.35,0.5,solid
Semolina kheer (Suji/Rava kheer),113.21,4.2,1.26,12.88,22.66,3.43,0.51,solid
Paneer kheer,105.31,5.37,3.33,9.87,23.81,4.53,0.07,solid
Cabbage kheer (Pattagobhi ki kheer),83.51,3.8,1.14,9.28,22.67,2.87,0.51,solid
Carrot kheer (Gajar ki kheer),85.35,3.85,1.16,9.63,28.54,2.81,0.73,solid
Cauliflower kheer (Phoolgobhi ki kheer),81.95,3.95,1.19,8.49,25.19,3.04,0.55,solid
Moong dal kheer,77.16,2.97,0.98,7.92,16.34,2.95,0.4,solid
Phirni,116.12,4.34,1.3,10.79,22.47,3.49,0.36,solid
Semolina halwa (Suji ka halwa),225.65,13.38,8.3,13.98,1.28,2.16,1.86,solid
Shahi suji halwa,382.34,21.73,13.47,27.21,2.18,3.48,2.96,solid
Carrot halwa (Gajar ka halwa),172.64,9.73,6.03,16.85,39.96,3.11,2.65,solid
Egg halwa (Ande ka halwa),299.74,13.41,8.31,37.85,83.04,7.85,0.49,solid
Potato halwa (Aloo ka halwa),131.0,3.48,2.16,17.42,4.23,1.53,1.64,solid
Pumpkin halwa (Kaddu ka halwa),190.27,8.81,5.46,26.64,8.09,1.33,2.97,solid
Moong dal halwa,349.8,17.68,10.96,25.59,11.19,8.35,2.65,solid
Caramel custard (steamed),121.58,4.87,1.46,14.98,43.57,4.97,0.0,liquid
Baked custard,106.53,5.3,1.59,9.42,47.13,5.41,0.0,solid
Soft Custard (stirred),109.18,5.07,1.52,11.15,122.17,5.01,0.0,solid
Chocolate ice cream,177.7,11.25,6.97,15.33,36.79,4.47,0.0,solid
Mango ice cream,125.69,7.62,4.72,11.01,29.13,3.4,0.52,solid
Fruit Ice cream (Phalon ka Ice cream),171.46,10.38,6.44,14.03,38.78,4.37,0.33,solid
Caramel ice cream,173.52,11.15,6.91,14.52,33.47,4.31,0.08,solid
Lemon souffle,168.51,10.02,3.01,11.67,50.73,6.95,0.0,solid
Orange souffle,168.28,9.73,2.92,12.31,49.22,6.8,0.22,solid
Vanilla souffle,187.85,11.19,3.36,12.86,56.73,7.71,0.0,solid
Chocolate souffle,189.32,11.36,7.04,12.69,56.07,7.88,0.0,solid
Pineapple souffle,196.14,11.72,3.52,13.45,59.17,8.06,0.0,solid
Apple mousse,106.92,4.27,1.28,10.56,28.79,4.21,1.6,solid
Rich chocolate mousse,188.26,12.19,7.56,10.3,51.71,7.96,0.0,solid
Mango mousse,124.98,8.47,2.54,8.89,19.62,3.21,0.88,solid
Orange and pineapple cream,101.18,5.43,3.37,11.37,10.17,1.44,1.03,solid
Charlotte rousse,165.5,4.78,1.43,20.48,56.45,3.95,1.01,solid
Triffle pudding,116.97,3.93,1.18,13.89,26.95,2.93,0.12,solid
Snow flakes pudding,95.21,4.97,1.49,8.01,39.6,4.67,0.03,solid
Kulfi,98.43,4.7,1.41,10.39,23.97,3.21,0.12,solid
Steamed orange pudding,251.5,12.04,3.61,26.53,79.1,2.34,0.58,liquid
Meringue and rice pudding,112.93,4.05,1.21,10.87,44.16,4.84,0.17,solid
Cheese pudding,285.01,18.37,11.39,18.63,37.83,11.29,0.05,solid
Chocolate pudding,211.96,9.48,5.88,20.68,171.36,3.55,0.53,solid
Bread and butter pudding,167.94,7.88,4.89,11.84,96.3,5.59,0.98,solid
Queen of pudding,132.92,5.38,1.61,11.77,85.59,5.51,0.27,solid
Pineapple upside down pudding,233.9,11.91,3.57,22.16,74.52,3.15,0.8,solid
Date and nut pie,295.5,13.31,3.99,31.18,3.87,3.93,4.13,solid
Stewed apple with custard,92.87,1.82,0.55,15.46,16.66,1.27,1.01,solid
Apple snowballs,101.51,0.31,0.09,19.4,12.8,0.86,1.25,solid
Hot orange souffle,179.97,8.95,2.68,14.93,58.8,6.87,0.29,solid
Hot chocolate souffle,226.09,11.1,6.88,22.88,54.11,6.7,0.12,solid
Hot vanilla souffle,192.93,9.07,2.72,18.17,59.59,6.87,0.13,solid
Plain burfi (Burfi),408.32,27.96,8.39,30.43,31.65,9.82,0.17,solid
Coconut burfi (Nariyal ki burfi),467.64,34.63,10.39,31.5,27.63,8.81,3.5,solid
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,17.68,5.3,23.92,18.15,5.86,0.73,solid
Chocolate burfi,339.33,17.86,11.07,32.38,39.32,13.0,0.0,solid
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,28.46,8.54,31.43,4.23,5.48,1.12,solid
Gram flour burfi (Besan burfi),421.79,22.41,6.72,28.44,13.02,11.19,3.41,solid
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,21.86,13.55,33.28,14.4,6.71,4.68,solid
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,27.03,16.76,27.32,9.06,5.68,6.69,solid
Gram flour ladoo (Besan ladoo),476.91,22.76,14.11,37.76,5.48,8.93,4.43,solid
Sesame ladoo (Til ke ladoo),396.96,19.64,12.18,38.63,18.55,10.7,7.72,solid
Chenna murki,252.69,8.2,2.46,35.55,11.4,10.46,0.0,solid
Milk cake,127.41,8.93,5.54,8.9,24.97,3.01,0.06,solid
Ghujia/Lavang latika,768.98,78.93,23.68,6.08,3.28,1.86,0.52,solid
Gulab Jamun with khoya,586.06,53.23,15.97,24.12,15.09,2.03,0.07,solid
Mal pua,566.68,54.64,16.39,11.77,6.35,1.71,0.62,solid
Shahi tukre,189.81,2.54,0.76,34.7,71.04,2.76,0.51,solid
Potato pakora/pakoda (Aloo pakoda),677.19,71.84,21.55,0.22,63.38,1.9,1.03,solid
Onion pakora/pakoda (Pyaaz ke pakode),674.61,71.84,21.55,0.88,63.55,1.9,1.11,solid
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,71.86,21.56,0.23,66.54,1.98,1.26,solid
Mixed vegetable pakora/pakoda,673.81,71.86,21.56,0.38,65.35,1.94,1.13,solid
Spinach pakora/pakoda (Palak pakoda),712.62,76.38,22.91,0.2,69.54,1.96,1.02,solid
Methi pakora/pakoda (Methi ke pakode),713.25,76.39,22.92,0.25,69.83,2.06,1.18,solid
Egg pakora/pakoda (Ande ke pakode),710.51,75.86,22.0,0.19,75.37,2.83,0.86,solid
Bread pakora/pakoda,710.99,74.2,37.1,0.46,101.49,2.57,1.11,solid
Paneer pakora/pakoda,718.12,76.05,47.15,1.08,131.7,3.27,0.89,solid
Potato bonda (Aloo bonda),632.84,67.8,20.34,0.27,132.53,1.09,0.83,solid
Potato samosa (Aloo ka samosa),577.39,59.19,17.76,0.29,77.1,1.71,1.19,solid
Minced meat samosa (Keema ka samosa),620.99,64.26,22.49,0.5,88.64,4.43,0.39,solid
Paneer and pea samosa (Paneer matar ka samosa),623.81,63.65,39.46,1.69,78.18,4.02,1.02,solid
Mathri,805.12,83.1,24.93,0.29,64.7,1.75,0.6,solid
Khasta kachori,712.73,72.27,21.68,0.34,90.56,2.51,0.97,solid
Vegetable cutlet,665.45,71.33,21.4,0.35,85.38,1.25,0.93,solid
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,73.89,22.17,0.27,76.65,1.76,0.86,solid
Peanut cutlet (Mungfali ke cutlet),698.77,74.0,22.2,0.51,84.24,2.63,1.21,solid
Fish cutlet (Machli ka cutlet),654.64,70.11,14.02,0.29,75.33,2.77,0.54,solid
Paneer potato cutlet (Paneer aloo cutlet),672.94,71.4,44.27,1.02,85.71,2.47,0.41,solid
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,73.6,24.29,0.16,79.13,1.44,0.93,solid
Cheese toast,785.37,84.11,52.15,0.53,121.05,1.98,0.31,solid
Vegetable burger,519.93,50.63,15.19,1.88,168.97,3.26,1.7,solid
Cheese pizza,201.1,12.43,7.71,3.42,397.73,5.79,1.95,solid
Vegetable seekh kebab,690.73,73.72,25.8,0.74,83.67,1.57,0.59,solid
Masala vada,826.02,89.15,29.42,0.24,74.53,1.69,1.07,solid
Peanut sago vada (Sabudana mungfali vada),749.89,79.82,23.95,0.19,71.29,1.01,0.62,solid
Vegeterian scotch egg,681.67,72.77,21.1,0.23,93.33,2.16,0.58,solid
Paneer shaslik/tikka,93.85,4.49,2.78,4.61,103.39,5.11,1.23,solid
Peanut brittle (Moongfali ki chikki),320.46,11.13,3.34,43.92,15.99,6.94,2.63,solid
Spring roll,623.87,64.63,19.39,0.6,132.84,1.81,0.67,solid
Dry mango chutney (Sookhe aam ki chutney),298.13,0.7,0.21,61.86,437.91,2.43,3.74,solid
Peanut chutney (Mungfali ki chutney),258.37,19.06,5.72,2.76,475.34,11.8,5.73,solid
Coconut chutney (Nariyal ki chutney),265.92,25.0,7.5,3.79,428.28,3.59,6.73,solid
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,0.51,0.15,15.88,391.66,2.81,4.33,solid
Custard tart,188.1,10.73,3.22,9.31,59.74,3.72,0.91,solid
Lemon tart,264.6,17.45,5.23,10.68,76.09,6.12,0.81,solid
Jam tart,297.9,17.35,5.21,14.74,70.34,4.42,1.14,solid
Orange cream tart,163.8,8.72,5.41,10.08,36.85,2.58,0.64,solid
Pineapple tart,162.3,8.21,2.46,11.09,37.88,2.29,0.87,solid
Cheese and mushroom tart,210.3,15.28,9.47,3.16,212.42,5.51,1.18,solid
Cottage cheese pie,206.1,13.83,8.57,3.62,103.29,7.45,2.21,solid
Minced meat pie,189.4,13.04,4.56,1.42,127.85,7.38,2.33,solid
Apple cinnamon pie,216.7,12.21,3.66,11.95,60.14,3.35,1.77,solid
Lemon meringue pie,199.5,8.16,2.45,21.17,85.12,3.88,0.44,solid
Chocolate meringue pie,189.0,9.17,5.69,15.03,80.77,4.98,0.37,solid
Cream puffs,202.0,15.48,9.6,5.94,98.76,4.7,0.38,solid
Chocolate eclairs,239.42,13.5,8.37,17.34,85.88,4.24,0.33,solid
Cheese balls,681.28,72.57,44.99,0.63,120.7,2.21,0.18,solid
Minced meat patties,237.2,19.57,6.85,0.88,252.18,6.88,0.77,solid
Cheese patties,287.9,22.67,14.06,3.93,295.22,7.38,1.24,solid
Hot cheese souffle,177.1,13.23,8.2,2.91,286.96,9.18,0.12,solid
Hot potato souffle,112.4,7.64,2.29,1.78,97.2,5.51,0.66,solid
Hot fish souffle,142.92,9.24,1.85,1.68,110.94,11.23,0.1,solid
Hot spinach souffle,104.25,7.24,2.17,1.64,104.69,5.43,0.99,solid
Plain cream cake,318.3,16.17,10.03,27.74,174.0,6.18,0.71,solid
Apple cake (Seb ka cake),261.1,12.87,6.43,23.52,136.95,4.94,1.22,solid
Marble cake,318.7,16.27,8.13,27.56,138.48,6.3,0.71,solid
Chocolate cake,303.9,15.18,9.41,27.58,241.93,6.01,0.64,solid
Orange cake,321.5,16.21,8.11,28.38,105.41,6.1,0.83,solid
Fruit Loaf,282.7,13.31,3.99,24.54,160.6,5.36,0.87,solid
Banana cake (Kele ka cake),389.51,23.31,11.65,23.04,117.81,5.77,1.14,solid
Chocolate chiffon cake,311.71,15.8,9.8,24.25,188.59,5.76,0.7,solid
Christmas cake,329.8,16.88,8.44,27.45,64.84,5.49,1.49,solid
Strawberry and vanilla cake with butter icing,370.54,20.39,12.64,32.43,107.27,3.89,0.79,solid
Eggless cake,284.2,11.75,3.41,27.7,310.5,8.12,0.68,solid
Swiss roll,224.0,3.77,1.13,32.96,51.9,7.3,0.55,solid
Pineapple pastry,190.0,7.87,3.94,18.83,44.3,6.06,0.72,solid
Black forest pastry,210.3,8.46,4.23,21.35,53.43,6.09,0.54,solid
Coconut finger,250.5,8.86,2.66,28.55,46.86,7.09,1.87,solid
Pineapple cake,195.57,9.34,4.67,16.16,37.47,5.01,0.76,solid
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),378.5,23.62,14.64,22.58,280.44,6.56,1.54,solid
Chocolate chip cookies,373.1,19.38,12.02,30.29,278.29,5.79,1.05,solid
Sweet plain biscuit,326.2,17.67,8.84,21.77,132.59,5.86,1.07,solid
Chocolate biscuit,327.9,17.09,10.6,24.16,127.02,5.88,1.01,solid
Coconut biscuit (Nariyal ke biscuit),396.4,27.16,13.58,20.76,105.76,5.78,3.64,solid
Sweet and salty biscuit (Meethay aur namkeen biscuit),333.2,22.39,11.2,7.22,414.7,6.15,1.68,solid
Peanut biscuit,354.3,20.41,10.21,21.26,202.26,8.45,2.48,solid
Pin wheel biscuit,344.7,18.66,9.33,23.25,131.73,5.4,1.16,solid
Saffron biscuit (Kesar biscuit),387.2,22.01,11.01,22.42,5.65,6.05,1.9,solid
Masala biscuit,318.1,20.75,10.38,6.82,714.52,6.06,2.14,solid
Ice box cookies,318.2,14.44,7.22,26.69,449.14,5.7,1.28,solid
Ginger bread man,305.1,11.01,5.5,29.12,477.99,6.61,1.6,solid
Danish cookies,405.3,24.92,12.46,21.73,201.06,5.33,1.37,solid
Short bread cookies,362.7,17.98,8.99,23.31,145.0,6.03,1.57,solid
Coffee biscuit,370.6,23.0,11.5,21.69,112.53,6.9,1.59,solid
Melting moments,380.3,21.78,6.53,25.0,119.09,5.71,1.88,solid
Ginger biscuit (Adarak ke biscuit),358.9,18.31,9.15,27.06,79.68,5.98,1.49,solid
Soyabean muthias,839.33,90.45,27.14,0.17,78.25,2.46,1.47,solid
Soyabean tikki,698.17,74.02,22.21,0.35,88.72,3.53,2.2,solid
Soyabean namak paras,838.46,89.83,26.95,0.22,72.05,2.65,1.41,solid
Peanut burfi (Moongfali ki burfi),550.99,36.84,11.05,43.08,6.78,9.31,4.09,solid
Spinach peanut namak paras (Palak moongfali namak paras),740.16,78.51,23.55,0.28,73.15,1.65,0.81,solid
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,80.04,40.02,0.25,74.88,2.08,1.39,solid
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,82.44,27.21,0.15,142.82,2.74,1.18,solid
Split bengal gram sweet rice (Channa dal sweet rice),147.3,0.64,0.21,19.41,8.38,4.15,2.23,solid
Sweet poori (Meethi poori),782.75,79.63,23.89,7.15,2.57,2.12,1.54,solid
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),391.3,18.41,6.08,31.12,5.25,9.84,6.02,solid
Spinach burfi (Palak burfi),121.17,6.81,2.04,12.12,27.77,2.71,1.17,solid
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),295.6,7.93,2.62,24.73,12.05,9.51,8.16,solid
Sprouted moong daliya,89.1,4.71,1.55,1.67,196.73,2.81,3.12,solid
Sprouted moong poha,145.5,6.89,2.07,1.93,220.82,5.59,3.13,solid
Pearl millet ladoo (Bajra ladoo),276.2,8.06,5.0,27.44,12.26,9.61,6.0,solid
Paushtik ladoo,485.87,24.98,15.49,38.12,6.09,7.65,4.57,solid
Paushtik roti,105.6,1.51,0.45,2.03,170.96,7.17,5.74,solid
Semolina carrot vada (Suji gajar vada),699.53,74.07,22.22,1.21,73.17,1.56,1.07,solid
Dhokla,173.4,5.28,1.58,4.78,376.02,13.45,4.95,solid
Kashmiri tea (Kehwa),24.9,0.51,0.15,5.14,0.29,0.17,0.16,liquid
Steeped hot coffee,15.91,0.33,0.1,2.96,2.82,0.39,0.0,liquid
Hot chocolate,90.01,4.61,2.86,8.86,36.04,3.43,0.0,solid
Cold coffee (with cream),82.76,3.29,2.04,11.91,15.35,1.93,0.0,liquid
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,2.77,1.72,9.94,16.63,2.01,0.27,liquid
Flavoured milkshake,66.78,2.83,1.75,8.61,16.34,2.06,0.0,liquid
Jal jeera,30.24,0.26,0.08,5.71,215.62,0.44,0.95,solid
Gingo,48.02,0.06,0.02,12.08,21.5,0.14,0.17,solid
Mintade,40.32,0.02,0.01,10.47,26.69,0.03,0.03,solid
Canjee,6.61,0.42,0.13,0.21,43.03,0.24,0.36,solid
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.42,0.13,0.09,41.45,0.39,0.49,solid
Potato canjee (Aloo canjee),11.4,0.39,0.12,0.1,35.99,0.44,0.43,solid
Vermicelli porridge (Semiya/Seviyan porridge),78.4,2.98,1.04,7.04,65.33,2.5,0.48,solid
Semolina upma (Suji/Rava upma),120.1,7.49,2.25,1.31,101.59,3.3,3.24,solid
Vermicelli upma (Semiya/Seviyan upma),120.3,7.45,2.61,1.4,101.8,3.11,3.21,solid
Rice upma,118.8,7.46,2.24,1.13,101.75,2.63,2.12,solid
Bread upma,110.3,7.75,3.88,1.56,176.44,2.8,1.96,solid
Vegetable upma,119.5,6.63,1.99,1.39,347.02,4.73,4.19,solid
Poha,228.5,14.14,4.24,0.87,377.1,6.09,3.72,solid
Vegetable poha,142.9,8.07,2.42,1.4,418.02,4.89,3.76,solid
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),120.8,5.11,1.69,1.11,267.23,6.97,4.25,solid
Paneer stuffed cheela/chilla,177.1,8.89,5.51,3.81,289.1,11.44,4.03,solid
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,7.02,2.04,1.95,218.05,6.1,1.53,solid
French omelette/omlet,211.04,18.86,5.66,0.1,381.85,10.03,0.38,solid
Puffy omelette/omlet,188.15,16.84,5.05,0.08,340.53,8.82,0.0,solid
Orange omelette/omlet,194.66,16.84,5.05,1.68,340.92,8.93,0.0,solid
Cheese and mushroom omelette/omlet,205.63,17.82,11.05,1.07,400.29,9.69,0.93,solid
Spanish omelette/omlet,157.45,11.44,3.43,1.03,233.87,8.25,2.54,solid
Mixed stock,25.19,1.71,0.51,0.2,9.51,2.06,0.15,solid
Meat stock,24.48,1.78,0.62,0.0,8.62,2.1,0.0,solid
White stock,6.99,0.56,0.17,0.24,1.56,0.07,0.17,solid
Meat consomme (with mutton),107.3,13.68,4.79,0.24,12665.52,14.86,0.71,solid
Consomme au julienne,89.9,10.66,3.2,0.83,10208.47,12.49,1.38,liquid
Consomme au vermicelli,105.2,12.98,3.89,0.27,12524.61,15.23,0.81,liquid
Green pea soup (Matar ka soup),104.3,12.9,3.87,0.87,10958.11,11.06,2.49,liquid
Spinach soup (Palak ka soup),104.1,14.26,4.28,0.29,12088.21,10.54,1.98,liquid
Mixed vegetable soup,91.7,11.66,3.5,1.64,9202.27,8.22,1.64,liquid
Cheese soup,125.6,17.07,10.58,0.84,13695.35,12.39,1.8,liquid
Mulligatawny soup,114.6,13.28,3.98,1.26,11602.5,11.26,2.6,liquid
Cream of carrot soup,107.5,12.35,7.66,1.77,8694.79,8.27,1.98,liquid
Cream of broccoli soup,108.5,12.75,7.91,1.59,8792.43,8.97,1.89,liquid
Cream of potato soup,104.5,12.05,7.47,1.24,8503.99,8.1,1.51,liquid
Almond soup (Badam ka soup),126.5,13.8,4.14,1.94,8376.94,10.13,0.91,liquid
Cold cucumber cream soup,9.9,0.34,0.21,0.51,207.89,0.34,0.73,liquid
Cold tomato soup,16.9,1.56,0.47,0.22,287.15,0.11,0.16,liquid
Chicken stew,127.55,8.91,3.12,1.43,79.62,7.19,1.82,solid
Veg paneer stew,145.55,8.41,5.21,4.85,73.15,6.98,3.08,solid
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),147.7,7.27,2.18,2.71,241.19,4.37,5.16,solid
Methi parantha/paratha,112.2,4.34,1.3,2.44,48.36,4.27,5.09,solid
Bathua poori,598.79,59.14,17.74,0.41,49.71,2.35,1.87,solid
Gram flour poori (Besan poori),697.66,71.51,21.45,0.35,58.33,2.59,1.94,solid
Beetroot poori (Chukandar ki poori),527.66,52.18,15.13,0.54,46.48,1.91,1.4,solid
Peas poori (Matar ki poori),592.83,57.69,17.31,0.48,47.77,3.04,2.25,solid
Peas kachori (Matar kachori),584.68,57.51,17.25,0.5,55.45,3.21,2.03,solid
Pizza,130.8,8.72,2.62,1.38,225.02,6.85,1.71,solid
Bacon and mushroom pancake,144.2,10.6,5.3,1.23,344.23,6.82,1.59,solid
Cheese and tomato pancake,133.8,9.28,5.75,3.48,281.62,5.15,1.06,solid
Minced meat pancake (with chicken),132.5,10.48,3.67,1.29,4942.18,12.01,0.7,solid
Eggplant/Brinjal rice (Vangi bhat),132.6,3.67,1.06,4.36,59.06,5.28,4.44,solid
Kashmiri 'tahar',60.5,1.37,0.41,0.17,61.29,1.95,0.98,solid
Cumin pulao (Jeera/Zeera pulao),89.6,3.2,0.96,0.64,219.73,2.47,1.4,solid
Peas pulao (Matar pulao),76.6,1.9,0.57,1.3,86.18,3.89,3.21,solid
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),82.2,2.3,0.76,1.59,98.07,3.6,3.16,solid
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),87.9,2.58,0.77,1.99,103.09,3.44,2.69,solid
Mutton pulao,130.77,10.78,3.77,1.0,3115.59,6.52,1.65,solid
Chicken pulao,108.24,8.48,2.97,0.99,3093.47,6.07,1.64,solid
Mexican rice,96.0,4.88,1.46,1.44,93.42,4.62,1.64,solid
Plain khitchdi (Plain khichri/khichdi),37.6,1.01,0.3,0.12,37.14,1.72,0.85,solid
Instant idli (with semolina),172.0,3.61,1.08,3.35,1504.66,9.16,7.13,solid
Plain dosa,255.7,8.43,2.53,0.7,142.98,10.34,5.23,solid
Masala dosa mixed vegetable fillings,104.0,3.26,1.08,1.53,122.08,4.84,4.31,solid
Masala dosa paneer fillings,194.7,8.84,5.48,4.81,160.4,10.31,3.11,solid
Uttapam,188.4,9.03,2.71,1.5,228.69,6.18,4.4,solid
Appam,267.7,22.63,6.79,4.16,26.59,3.12,6.19,solid
